subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
"11",2023-08-23_11:52:46,2023-08-23_13:52:46,2023-08-21_12:54:13,https://www.testable.org/experiment/4462/894184/start,517.344

rowNo,type,subjectGroup,stim1,stim2,stim3,stim4,stimFormat,stimPos,audio,condition1,condition2,condition3,condition4,label,head,responseRows,responseRowsRandom,key,button1,button2,button3,button4,button5,button6,button7,button8,responseType,responseOptions,responsePos,trialText,trialTextPos,randomBlock,content,required,pageBreak,if,then,condition5,ITI_ms,responseRows_actual,timestamp,response,RT,RTkeys,correct,responseCode
"2",form,"","","","","","","","",form,"","","","",What is your prolific ID?,"","","","","","","","","","","",box,"","","","","","","1","1","","",id,,"",15671,TEST3,9668,"","0",NA
"3",form,"","","","","","","","",form,"","","","",Were you born and raised in the United Kingdom?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","","1","1",responseCode=1,4;7,uk_born,,"",18007,Yes,1831,"","0","1"
"4",form,"","","","","","","","",form,"","","","",Do you currently live in the United Kingdom?,"","","","","","","","","","","",checkboxes,No;Yes,"","","","","","1","1",responseCode=2,5;7,uk_residency,,"",19663,Yes,1152,"","0","2"
"5",form,"","","","","","","","",form,"","","","",Is English your first language?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","If you learnt any other language before the age of six, because someone spoke to you in a language other than English, the answer is 'No'.","1","1",responseCode=1,8;7,eng_l1,,"",21303,Yes,1136,"","0","1"
"10",test,"",speaker-image,"","","",.jpg,"",adjust_volume.mp3,"","","","","","","","","1",T,M,Q,H,X,W,S,P,"","","",Please adjust your volume and follow the audio instruction.,above,"","","","",responseCode=!3,11;12,attention-check,"","",23767,"3",786,"","0",""
"200",test,"11",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,fluent,firewalker11,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"2","","1","","","",bet,"","",54238,"34",2477,1726;1902,"",""
"201",test,"11",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,fluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[firewalker11]% on Fire Walker. <br>Click 'NEXT' to continue to the next horse.,above,"2","","1","","","",move-on,"","",55231,"1",987,"","",""
"204",test,"11",blackblade,"","","",.jpg,"","",critical,blackblade,nonnative,disfluent,blackblade11,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"3","","1","","","",bet,"","",95438,"120",3393,2369;2609;3121,"",""
"205",test,"11",blackblade,"","","",.jpg,"","",critical,blackblade,nonnative,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[blackblade11]% on Black Blade. <br>Click 'NEXT' to continue to the next horse.,above,"3","","1","","","",move-on,"","",95943,"1",501,"","",""
"196",test,"11",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,disfluent,apocalypse11,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"1","","1","","","",bet,"","",138718,"45",3933,3421;3613,"",""
"197",test,"11",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[apocalypse11]% on Apocalypse. <br>Click 'NEXT' to continue to the next horse.,above,"1","","1","","","",move-on,"","",139208,"1",485,"","",""
"208",test,"11",silversky,"","","",.jpg,"","",critical,silversky,native,fluent,silversky11,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"4","","1","","","",bet,"","",169102,"55",2997,2470;2661,"",""
"209",test,"11",silversky,"","","",.jpg,"","",critical,silversky,native,fluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[silversky11]% on Silver Sky. <br>Click 'NEXT' to continue to the next horse.,above,"4","","1","","","",move-on,"","",169687,"1",581,"","",""
"210",form,"11",apocalypse,blackblade,firewalker,silversky,.jpg,-300 -200; 300 -200; -300 200; 300 200,"",critical,"","","",finalbet11apocalypse;finalbet11blackblade;finalbet11firewalker;finalbet11silversky,"You can review your placed bets. If you wish to change them, please write in the box below each horse the new bet. Remember that you only have two-hundred pounds to distribute across the horses, and to allocate your bet based on the likelihood you think that horse has of winning. Thus far, you have bet a total of %response.sum[apocalypse11,blackblade11,firewalker11,silversky11]% pounds. <br>You bet <b>%response[apocalypse11]%</b> on <b>Apocalypse</b>, <b>%response[blackblade11]%</b> on <b>Black Blade</b>, <b>%response[firewalker11]%</b> on <b>Fire Walker</b> and <b>%response[silversky11]%</b> on <b>Silver Sky</b>. If you do not wish to modify your bets, please re-type the bets that you had previously allocated. Note that they still need to add up to two-hundred pounds.","","","","","","","","","","","",box,"",below,"","","","","1","1",response.sum[finalbet11apocalypse;finalbet11blackblade;finalbet11firewalker;finalbet11silversky] > 200; response.sum[finalbet11apocalypse;finalbet11blackblade;finalbet11firewalker;finalbet11silversky] < 200,211;446,finalbet,0,"",184623,45|44|23|23,14429,"","0",NA|NA|NA|NA
