subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
"10",2023-08-21_12:55:24,2023-08-21_14:55:24,2023-08-21_12:54:13,https://www.testable.org/experiment/4462/894184/start,324.123

rowNo,type,subjectGroup,stim1,stim2,stim3,stim4,stimFormat,stimPos,audio,condition1,condition2,condition3,condition4,label,head,responseRows,responseRowsRandom,key,button1,button2,button3,button4,button5,button6,button7,button8,responseType,responseOptions,responsePos,trialText,trialTextPos,randomBlock,content,required,pageBreak,if,then,condition5,ITI_ms,responseRows_actual,timestamp,response,RT,RTkeys,correct,responseCode
"2",form,"","","","","","","","",form,"","","","",What is your prolific ID?,"","","","","","","","","","","",box,"","","","","","","1","1","","",id,,"",15591,test1,3892,"","0",NA
"3",form,"","","","","","","","",form,"","","","",Were you born and raised in the United Kingdom?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","","1","1",responseCode=1,4;7,uk_born,,"",17944,Yes,1846,"","0","1"
"4",form,"","","","","","","","",form,"","","","",Do you currently live in the United Kingdom?,"","","","","","","","","","","",checkboxes,No;Yes,"","","","","","1","1",responseCode=2,5;7,uk_residency,,"",19551,Yes,1104,"","0","2"
"5",form,"","","","","","","","",form,"","","","",Is English your first language?,"","","","","","","","","","","",checkboxes,Yes;No,"","","","","If you learnt any other language before the age of six, because someone spoke to you in a language other than English, the answer is 'No'.","1","1",responseCode=1,8;7,eng_l1,,"",21103,Yes,1048,"","0","1"
"10",test,"",speaker-image,"","","",.jpg,"",adjust_volume.mp3,"","","","","","","","","1",T,M,Q,H,X,W,S,P,"","","",Please adjust your volume and follow the audio instruction.,above,"","","","",responseCode=!3,11;12,attention-check,"","",23575,"3",666,"","0",""
"182",test,"10",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,disfluent,firewalker10,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"2","","1","","","",bet,"","",83967,"89",15908,1158;1364;1556;2021;5732;5860;7716;7940;8372;8740;9828;10180;10452;10660;11268;11540;12629;13300;15236;15396,"",""
"183",test,"10",firewalker,"","","",.jpg,"","",critical,firewalker,nonnative,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[firewalker10]% on Fire Walker. <br>Click 'NEXT' to continue to the next horse.,above,"2","","1","","","",move-on,"","",86296,"1",2324,"","",""
"186",test,"10",blackblade,"","","",.jpg,"","",critical,blackblade,native,fluent,blackblade10,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"3","","1","","","",bet,"","",118783,"75",7026,6114;6466,"",""
"187",test,"10",blackblade,"","","",.jpg,"","",critical,blackblade,native,fluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[blackblade10]% on Black Blade. <br>Click 'NEXT' to continue to the next horse.,above,"3","","1","","","",move-on,"","",119776,"1",986,"","",""
"178",test,"10",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,disfluent,apocalypse10,"","","","","","","","","","","","",box,max:200,below,"Place your bet on this horse: Enter a quantity, out of the two-hundred virtual pounds, in the box under the horse picture. <br> Please, use <b>digits</b> instead of text (e.g., type '2' instead of 'two'). <br> Press 'ENTER' in your keyboard once you are done.",above,"1","","1","","","",bet,"","",164399,"88",5822,5391;5534,"",""
"179",test,"10",apocalypse,"","","",.jpg,"","",critical,apocalypse,native,disfluent,"","","","","",NEXT,"","","","","","","","","","",You bet %response[apocalypse10]% on Apocalypse. <br>Click 'NEXT' to continue to the next horse.,above,"1","","1","","","",move-on,"","",165472,"1",1068,"","",""
